time,open,high,low,close,volume,SMA
2015-11-03T00:00:00.000Z,120.790001,123.489998,120.699997,122.57,45519000,116.401429
2015-11-04T00:00:00.000Z,123.129997,123.82,121.620003,122,44886100,117.125715
2015-11-05T00:00:00.000Z,121.849998,122.690002,120.18,120.919998,39552700,117.831429
2015-11-06T00:00:00.000Z,121.110001,121.809998,120.620003,121.059998,33042300,118.497857
2015-11-09T00:00:00.000Z,120.959999,121.809998,120.050003,120.57,33871400,118.983571
2015-11-10T00:00:00.000Z,116.900002,118.07,116.059998,116.769997,59127900,119.198571
2015-11-11T00:00:00.000Z,116.370003,117.419998,115.209999,116.110001,45218000,119.242142
2015-11-12T00:00:00.000Z,116.260002,116.82,115.650002,115.720001,32525600,119.002142
2015-11-13T00:00:00.000Z,115.199997,115.57,112.269997,112.339996,45812400,118.792142
2015-11-16T00:00:00.000Z,111.379997,114.239998,111,114.18,38106700,118.765713
2015-11-17T00:00:00.000Z,114.919998,115.050003,113.32,113.690002,27616900,118.367142
2015-11-18T00:00:00.000Z,115.760002,117.489998,115.5,117.290001,46674700,118.135714
2015-11-19T00:00:00.000Z,117.639999,119.75,116.760002,118.779999,43295800,118.084285
2015-11-20T00:00:00.000Z,119.199997,119.919998,118.849998,119.300003,34287100,117.950000
2015-11-23T00:00:00.000Z,119.269997,119.730003,117.339996,117.75,32482500,117.605714
2015-11-24T00:00:00.000Z,117.330002,119.349998,117.120003,118.879997,42803200,117.382857
2015-11-25T00:00:00.000Z,119.209999,119.230003,117.919998,118.029999,21388300,117.176428
2015-11-27T00:00:00.000Z,118.290001,118.410004,117.599998,117.809998,13046400,116.944285
2015-11-30T00:00:00.000Z,117.989998,119.410004,117.75,118.300003,39180300,116.782143
2015-12-01T00:00:00.000Z,118.75,118.809998,116.860001,117.339996,34852400,116.822857
2015-12-02T00:00:00.000Z,117.339996,118.110001,116.080002,116.279999,33386600,116.835000
2015-12-03T00:00:00.000Z,116.550003,116.790001,114.220001,115.199997,41569500,116.797856
2015-12-04T00:00:00.000Z,115.290001,119.25,115.110001,119.029999,57777000,117.275714
2015-12-07T00:00:00.000Z,118.980003,119.860001,117.809998,118.279999,32084200,117.568571
2015-12-08T00:00:00.000Z,117.519997,118.599998,116.860001,118.230003,34309500,117.892857
2015-12-09T00:00:00.000Z,117.639999,117.690002,115.080002,115.620003,46361400,117.773571
2015-12-10T00:00:00.000Z,116.040001,116.940002,115.510002,116.169998,29104200,117.587142
2015-12-11T00:00:00.000Z,115.190002,115.389999,112.849998,113.18,46886200,117.149999
2015-12-14T00:00:00.000Z,112.18,112.68,109.790001,112.480003,64318700,116.773571
2015-12-15T00:00:00.000Z,111.940002,112.800003,110.349998,110.489998,53323100,116.174285
2015-12-16T00:00:00.000Z,111.07,111.989998,108.800003,111.339996,56238500,115.696428
