Date,Message
2026-06-01T05:30:00.000+05:30,"OPSHEAD|time,open,high,low,close,volume,macd_line,macd_signal,macd_hist,bb_mid,bb_upper,bb_lower,tsi_25_13,triple_ema_9,sma_of_ema_10,ema_of_sma_10,rsi_of_ema_10"
2026-06-01T15:00:00.000+05:30,"OPS|1780306200000,72909.38,72948.01,72822.01,72848.29,5.26410844,-194.6214823792,-214.5195283539,19.8980459747,72993.6925,73482.2619821393,72505.1230178607,-0.3206948183,73049.6267249418,72932.2820479618,72931.3834513974,12.3006856324"
2026-06-01T15:15:00.000+05:30,"OPS|1780307100000,72853.49,72907.23,72722.8,72789.13,25.50917867,-187.6061978416,-209.1368622515,21.5306644099,72961.53,73413.6829077592,72509.3770922408,-0.3141974001,73020.093009949,72904.7800392415,72904.0448238706,11.9352262211"
2026-06-01T15:30:00.000+05:30,"OPS|1780308000000,72797.02,72810.28,72690.54,72697.04,5.99148527,-187.3181407498,-204.7731179511,17.4549772013,72924.782,73335.5899573547,72513.9740426453,-0.3161478467,72992.7690348205,72879.5009411976,72878.8994013486,11.1732607652"
2026-06-01T15:45:00.000+05:30,"OPS|1780308900000,72697.03,72708,72578.02,72609.42,8.73052394,-191.9474049571,-202.2079753523,10.2605703952,72892.7105,73296.7840371911,72488.6369628089,-0.3247468029,72966.3513476373,72856.9424064344,72856.4502374671,10.1894093909"
2026-06-01T16:00:00.000+05:30,"OPS|1780309800000,72609.43,72693,72507.01,72607.01,15.06947176,-193.5791372567,-200.4822077332,6.9030704765,72856.561,73225.517382024,72487.604617976,-0.3319976107,72940.270388568,72836.4079689009,72836.0052852003,9.4462287742"
2026-06-01T16:15:00.000+05:30,"OPS|1780310700000,72611.75,72698.98,72611.75,72658.69,11.81162505,-188.5289088618,-198.0915479589,9.5626390971,72826.846,73156.9918511845,72496.7001488155,-0.3295770909,72914.8216109277,72820.128701828,72819.7992333457,9.0745604463"
2026-06-01T16:30:00.000+05:30,"OPS|1780311600000,72658.69,72676.01,72569.98,72588.59,5.41434225,-188.0157224115,-196.0763828494,8.0606604379,72796.376,73094.8491311431,72497.9028688569,-0.3334479437,72889.7333301663,72805.4018469502,72805.1322818283,8.501739008"
2026-06-01T16:45:00.000+05:30,"OPS|1780312500000,72588.6,72646.2,72573.47,72580.01,2.38056155,-186.1554683845,-194.0921999565,7.9367315719,72770.777,73050.6882298643,72490.8657701357,-0.3373951952,72864.9610183646,72789.1969656865,72788.976412405,8.0230903924"
2026-06-01T17:00:00.000+05:30,"OPS|1780313400000,72580.01,72652.98,72522.09,72623.98,6.11136626,-179.0689962165,-191.0875592085,12.0185629919,72756.3585,73035.3208863748,72477.3961136252,-0.3329349145,72840.9989549509,72771.3707901071,72771.1903374223,7.8002385756"
2026-06-01T17:15:00.000+05:30,"OPS|1780314300000,72623.98,72674.43,72201,72381.24,25.44309595,-190.8401192049,-191.0380712078,0.1979520028,72723.22,73014.8044183007,72431.6355816993,-0.350686656,72816.2657216671,72747.183373724,72747.0357306182,6.8060666666"
2026-06-01T17:30:00.000+05:30,"OPS|1780315200000,72399,72523,71810.77,71964.85,55.33728465,-231.1039891337,-199.0512547929,-32.0527343408,72670.473,73084.3893530913,72256.5566469087,-0.3983843059,72786.8985798981,72711.331123956,72711.2103250513,5.202214094"
2026-06-01T17:45:00.000+05:30,"OPS|1780316100000,71964.85,72227.74,71951.28,72148.79,29.60947374,-245.3428161248,-208.3095670593,-37.0332490655,72633.4915,73092.6065983391,72174.3764016609,-0.4018446223,72753.1081910895,72670.3549196004,72670.2560841328,4.5779395929"
2026-06-01T18:00:00.000+05:30,"OPS|1780317000000,72147.67,72236.3,72093.35,72191.19,19.23760522,-250.3203265466,-216.7117189568,-33.6086075898,72600.561,73086.5828638577,72114.5391361423,-0.3973914847,72716.0719547039,72627.6316614912,72627.5507961087,4.1993026317"
2026-06-01T18:15:00.000+05:30,"OPS|1780317900000,72179.68,72208.13,72027.59,72125.79,14.62723736,-256.5845261472,-224.6862803949,-31.8982457523,72571.2215,73095.9556005916,72046.4873994084,-0.3985848618,72676.5033573054,72583.8829957655,72583.8168331798,3.8293862053"
2026-06-01T18:30:00.000+05:30,"OPS|1780318800000,72127.39,72148.05,71640.16,71756,51.09985638,-288.067252032,-237.3624747223,-50.7047773097,72522.958,73151.0047521826,71894.9112478174,-0.4240560428,72632.3892983393,72532.6157238082,72532.5615907835,3.1664909825"
2026-06-01T18:45:00.000+05:30,"OPS|1780319700000,71756,71929,71641.32,71724.59,73.99802187,-311.9560286993,-252.2811855177,-59.6748431816,72477.6875,73192.8320622922,71762.5429377079,-0.4447536117,72583.2734307963,72473.6861376612,72473.6418470047,2.7238816911"
2026-06-01T19:00:00.000+05:30,"OPS|1780320600000,71725.8,71936.02,71464,71484.99,96.30952745,-346.2306425702,-271.0710769282,-75.159565642,72418.637,73247.7818875445,71589.4921124555,-0.4739604232,72527.9184200401,72405.4055671774,72405.3693293674,2.2821235388"
2026-06-01T19:15:00.000+05:30,"OPS|1780321500000,71485,72001.93,71269,71591.98,107.01644417,-360.6035093628,-288.9775634151,-71.6259459477,72357.8075,73240.3850560789,71475.2299439211,-0.4797292748,72467.638381717,72331.5754640542,72331.545814937,2.0476085054"
2026-06-01T19:30:00.000+05:30,"OPS|1780322400000,71591,71767.54,71433,71547.98,38.16084049,-371.2648322418,-305.4350171805,-65.8298150614,72291.4465,73207.3903461808,71375.5026538193,-0.4863879726,72403.7485862116,72251.6053796807,72251.5811213121,1.8583904603"
2026-06-01T19:45:00.000+05:30,"OPS|1780323300000,71547.98,71611.62,71354.39,71405.31,39.80745703,-386.7678648993,-321.7015867242,-65.066278175,72216.2435,73163.3511250722,71269.1358749278,-0.4987005887,72336.6676250716,72168.4311288297,72168.4112810735,1.6635100909"
2026-06-01T20:00:00.000+05:30,"OPS|1780324200000,71405.3,71464.01,71282.03,71366.5,45.88735759,-397.6024589767,-336.8817611747,-60.720697802,72142.154,73111.4692660291,71172.8387339709,-0.5101634595,72267.1678660848,72089.5003781334,72089.4841390601,1.5098561695"
2026-06-01T20:15:00.000+05:30,"OPS|1780325100000,71366.49,71486.02,71274.84,71423,36.62912057,-397.0528963995,-348.9159882197,-48.1369081799,72073.8475,73043.7082525915,71103.9867474085,-0.5108533159,72196.9043146063,72011.7244912,72011.7112046856,1.4136499393"
2026-06-01T20:30:00.000+05:30,"OPS|1780326000000,71445.63,71551.04,71308.1,71389.19,31.67275716,-394.7946021137,-358.0917109985,-36.7028911152,72008.455,72977.7859874568,71039.1240125433,-0.5130412439,72127.095396209,71933.5078564364,71933.4969856518,1.3283840729"
2026-06-01T20:45:00.000+05:30,"OPS|1780326900000,71389.21,71402.37,70944.19,70973.67,64.30685708,-421.6730940309,-370.807987605,-50.8651064259,71926.6675,72953.6874587238,70899.6475412763,-0.5343205955,72055.551974293,71848.5647916298,71848.5558973515,1.151925165"
2026-06-01T21:00:00.000+05:30,"OPS|1780327800000,70965,71359.9,70957.01,71146.73,26.33755608,-424.1209940341,-381.4705888908,-42.6504051433,71853.6535,72884.4459796767,70822.8610203233,-0.5253116811,71983.2904266602,71767.9882840607,71767.9810069239,1.0684423833"
2026-06-01T21:15:00.000+05:30,"OPS|1780328700000,71146.73,71178.5,70943.6,71003.72,16.9522998,-432.6137818538,-391.6992274834,-40.9145543704,71770.905,72795.6022805514,70746.2077194486,-0.5247734724,71910.339836201,71688.9553233224,71688.9493693014,0.974878715"
2026-06-01T21:30:00.000+05:30,"OPS|1780329600000,71003.71,71062.75,70574.13,70778,64.33261965,-452.3437577029,-403.8281335273,-48.5156241756,71680.3755,72719.929477075,70640.821522925,-0.5340519176,71835.5645985328,71611.4376281729,71611.4327567011,0.8650426945"
2026-06-01T21:45:00.000+05:30,"OPS|1780330500000,70754.51,70972.29,70705.4,70972.04,27.70467106,-447.1678270125,-412.4960722243,-34.6717547882,71599.977,72596.6194561678,70603.3345438322,-0.5148401032,71760.7235694229,71536.7424230505,71536.7384373009,0.8173478241"
